signal_type,id_cliente,familia,month,prediccion,urgency,signal,categoria,signal_date,restock_date,metadata
type_1_model_prediction,6476,Familia C1,2026-01,1.2136476039886475,,Esta semana el cliente 6476 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,6682,Familia C1,2026-01,1.5284950733184814,,Esta semana el cliente 6682 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,6716,Familia C1,2026-01,1.1552191972732544,,Esta semana el cliente 6716 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,6990,Familia C1,2026-01,1.3078466653823853,,Esta semana el cliente 6990 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,7000,Familia C1,2026-01,1.1370433568954468,,Esta semana el cliente 7000 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,7410,Familia C1,2026-01,1.2934343814849854,,Esta semana el cliente 7410 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,7412,Familia C1,2026-01,1.3277441263198853,,Esta semana el cliente 7412 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,7618,Familia C1,2026-01,1.0020670890808105,,Esta semana el cliente 7618 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,7739,Familia C1,2026-01,1.032663345336914,,Esta semana el cliente 7739 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,7941,Familia C1,2026-01,1.2287636995315552,,Esta semana el cliente 7941 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,7948,Familia C1,2026-01,1.1601300239562988,,Esta semana el cliente 7948 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,8001,Familia C1,2026-01,1.0543038845062256,,Esta semana el cliente 8001 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,8173,Familia C1,2026-01,1.3330488204956055,,Esta semana el cliente 8173 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,8229,Familia C1,2026-01,1.283463716506958,,Esta semana el cliente 8229 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,8288,Familia C1,2026-01,1.154123306274414,,Esta semana el cliente 8288 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,8504,Familia C1,2026-01,1.558707594871521,,Esta semana el cliente 8504 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,8580,Familia C1,2026-01,1.3457058668136597,,Esta semana el cliente 8580 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,8849,Familia C1,2026-01,1.0914318561553955,,Esta semana el cliente 8849 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,9243,Familia C1,2026-01,1.0243234634399414,,Esta semana el cliente 9243 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,9374,Familia C1,2026-01,1.264979362487793,,Esta semana el cliente 9374 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,9561,Familia C1,2026-01,1.0953667163848877,,Esta semana el cliente 9561 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,9670,Familia C1,2026-01,1.3834445476531982,,Esta semana el cliente 9670 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,9810,Familia C1,2026-01,1.1258974075317383,,Esta semana el cliente 9810 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,9835,Familia C1,2026-01,1.1668823957443237,,Esta semana el cliente 9835 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,9841,Familia C1,2026-01,1.2319830656051636,,Esta semana el cliente 9841 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,10023,Familia C1,2026-01,1.039718747138977,,Esta semana el cliente 10023 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,10124,Familia C1,2026-01,1.1323153972625732,,Esta semana el cliente 10124 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,10126,Familia C1,2026-01,1.0101670026779175,,Esta semana el cliente 10126 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,10230,Familia C1,2026-01,1.1170225143432617,,Esta semana el cliente 10230 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,10536,Familia C1,2026-01,1.1342637538909912,,Esta semana el cliente 10536 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,10544,Familia C1,2026-01,1.1354105472564697,,Esta semana el cliente 10544 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,10745,Familia C1,2026-01,1.1745580434799194,,Esta semana el cliente 10745 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,10958,Familia C1,2026-01,1.6033049821853638,,Esta semana el cliente 10958 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,10994,Familia C1,2026-01,1.1508331298828125,,Esta semana el cliente 10994 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,11018,Familia C1,2026-01,1.1698075532913208,,Esta semana el cliente 11018 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,11128,Familia C1,2026-01,1.4561805725097656,,Esta semana el cliente 11128 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,11348,Familia C1,2026-01,1.370426893234253,,Esta semana el cliente 11348 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,11449,Familia C1,2026-01,1.110338568687439,,Esta semana el cliente 11449 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,11479,Familia C1,2026-01,1.0352067947387695,,Esta semana el cliente 11479 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,11577,Familia C1,2026-01,1.01675546169281,,Esta semana el cliente 11577 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,11803,Familia C1,2026-01,1.1970946788787842,,Esta semana el cliente 11803 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,11999,Familia C1,2026-01,1.233196496963501,,Esta semana el cliente 11999 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,12055,Familia C1,2026-01,1.087876796722412,,Esta semana el cliente 12055 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,12284,Familia C1,2026-01,1.4346716403961182,,Esta semana el cliente 12284 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,12339,Familia C1,2026-01,1.1767741441726685,,Esta semana el cliente 12339 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,12435,Familia C1,2026-01,1.329280972480774,,Esta semana el cliente 12435 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,12585,Familia C1,2026-01,1.2083334922790527,,Esta semana el cliente 12585 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,12603,Familia C1,2026-01,1.0313979387283325,,Esta semana el cliente 12603 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,12952,Familia C1,2026-01,1.052664041519165,,Esta semana el cliente 12952 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,13287,Familia C1,2026-01,1.355717658996582,,Esta semana el cliente 13287 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,13332,Familia C1,2026-01,1.3627417087554932,,Esta semana el cliente 13332 podria comprar 1 unidades de Familia C1.,,,,
