id_cliente,familia,month,real,prediccion,error
26,Familia C1,2025-01,5,0.02854832448065281,4.971451675519347
66,Familia C1,2025-01,5,0.24612118303775787,4.753878816962242
238,Familia C1,2025-01,20,0.62380051612854,19.37619948387146
290,Familia C1,2025-01,2,0.08323468267917633,1.9167653173208237
356,Familia C1,2025-01,0,0.4185483157634735,-0.4185483157634735
367,Familia C1,2025-01,0,0.0037524481303989887,-0.0037524481303989887
462,Familia C1,2025-01,15,0.0,15.0
495,Familia C1,2025-01,5,0.7783586978912354,4.221641302108765
553,Familia C1,2025-01,0,0.16607226431369781,-0.16607226431369781
664,Familia C1,2025-01,1,0.5738219618797302,0.4261780381202698
764,Familia C1,2025-01,0,0.0,0.0
946,Familia C1,2025-01,0,0.0,0.0
1137,Familia C1,2025-01,10,0.21374915540218353,9.786250844597816
1144,Familia C1,2025-01,6,0.1294625997543335,5.8705374002456665
1392,Familia C1,2025-01,0,0.0,0.0
1420,Familia C1,2025-01,15,0.700951337814331,14.299048662185669
1426,Familia C1,2025-01,0,0.5060976147651672,-0.5060976147651672
1428,Familia C1,2025-01,5,0.48116448521614075,4.518835514783859
1430,Familia C1,2025-01,0,0.7298864126205444,-0.7298864126205444
1434,Familia C1,2025-01,0,0.21953195333480835,-0.21953195333480835
1452,Familia C1,2025-01,5,0.023558493703603745,4.976441506296396
1641,Familia C1,2025-01,2,0.5731745958328247,1.4268254041671753
1817,Familia C1,2025-01,6,0.0,6.0
1861,Familia C1,2025-01,0,0.07754938304424286,-0.07754938304424286
1954,Familia C1,2025-01,6,0.7221929430961609,5.277807056903839
2074,Familia C1,2025-01,0,0.0,0.0
2114,Familia C1,2025-01,0,0.5213189125061035,-0.5213189125061035
2200,Familia C1,2025-01,8,0.16169726848602295,7.838302731513977
2235,Familia C1,2025-01,0,1.309887170791626,-1.309887170791626
2246,Familia C1,2025-01,0,0.0,0.0
2309,Familia C1,2025-01,0,0.0,0.0
2363,Familia C1,2025-01,6,0.7380000352859497,5.26199996471405
2373,Familia C1,2025-01,0,1.4584400653839111,-1.4584400653839111
2435,Familia C1,2025-01,11,0.3138408660888672,10.686159133911133
2437,Familia C1,2025-01,2,0.0,2.0
2521,Familia C1,2025-01,10,0.4710981249809265,9.528901875019073
2545,Familia C1,2025-01,0,0.0935966745018959,-0.0935966745018959
2680,Familia C1,2025-01,5,0.0,5.0
2709,Familia C1,2025-01,15,1.2535059452056885,13.746494054794312
2813,Familia C1,2025-01,9,1.216257095336914,7.783742904663086
